"","fvegHW90mask","aetjan_90m","cwdjan_90m","pptjan_90m","pptdjf_90m","pptjja_90m","tmnjan_90m","tmxjan_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1",7,14.226300239563,0,262.463714599609,289.859985351562,14.3107995986938,2.08200001716614,10.7523002624512,32.3620986938477,2.19409990310669,-203298.097893,333595.025654
"2",15,14.226300239563,0,262.463714599609,289.859985351562,14.3107995986938,2.08200001716614,10.7523002624512,32.3620986938477,2.19409990310669,-203075.700487,333697.059641
"3",15,14.226300239563,0,262.463714599609,289.859985351562,14.3107995986938,2.08200001716614,10.7523002624512,32.3620986938477,2.19409990310669,-203075.700487,333697.059641
"4",15,14.226300239563,0,262.463714599609,289.859985351562,14.3107995986938,2.08200001716614,10.7523002624512,32.3620986938477,2.19409990310669,-203075.700487,333697.059641
"5",15,16.0937004089355,0,300.193298339844,322.023101806641,17.4932994842529,1.50699996948242,11.1192998886108,32.9030990600586,1.69439995288849,-189322.376648,327381.214373
"6",15,15.8807001113892,0,299.855010986328,322.878692626953,17.6763000488281,1.34500002861023,10.8520002365112,32.779598236084,1.58790004253387,-189801.019264,327311.52516
"7",15,15.5426998138428,0,270.753997802734,301.410095214844,14.7242002487183,2.35999989509583,11.2896995544434,32.0556983947754,2.38269996643066,-203625.98443,327321.994788
"8",15,14.6309995651245,0,304.853698730469,328.690185546875,19.7285995483398,1.26699995994568,10.3477001190186,32.0732002258301,1.44340002536774,-188186.166463,326317.340189
"9",15,14.6309995651245,0,304.853698730469,328.690185546875,19.7285995483398,1.26699995994568,10.3477001190186,32.0732002258301,1.44340002536774,-188186.166463,326317.340189
"10",7,17.6882991790771,0,293.126312255859,309.893798828125,15.487099647522,1.99399995803833,11.9433002471924,33.2537994384766,2.07480001449585,-189959.943153,319383.054738
"11",7,11.1339998245239,0,142.292694091797,145.022705078125,9.77490043640137,0.0399999991059303,8.62370014190674,31.9141998291016,0.058899998664856,-237128.433493,306808.313636
"12",5,20.7943000793457,0,259.657287597656,268.989105224609,13.4334001541138,3.91100001335144,12.3627004623413,33.937801361084,4.19110012054443,-202114.45744,299680.469715
"13",5,20.7943000793457,0,259.657287597656,268.989105224609,13.4334001541138,3.91100001335144,12.3627004623413,33.937801361084,4.19110012054443,-202114.45744,299680.469715
"14",5,20.7943000793457,0,259.657287597656,268.989105224609,13.4334001541138,3.91100001335144,12.3627004623413,33.937801361084,4.19110012054443,-202114.45744,299680.469715
"15",15,19.0592994689941,0,200.264694213867,198.657806396484,10.5431995391846,3.22399997711182,13.2089996337891,35.0550003051758,3.59409999847412,-196045.671498,292008.016715
"16",5,19.3213005065918,0,210.427703857422,207.330902099609,10.9919996261597,3.38330006599426,13.3210000991821,34.8726997375488,3.69600009918213,-207110.463107,291064.55997
"17",15,20.2516994476318,0,204.807006835938,200.934097290039,10.1386995315552,3.53430008888245,13.3496999740601,35.5446014404297,3.9349000453949,-202072.6864,290141.262698
