"","aet","cwd","ppt","pptdjf","pptjja","tmn","tmx","tmxjja","tmndjf","fveg","Back"
"1",31.1620006561279,0.0892999991774559,125.318298339844,121.468597412109,2.01780009269714,5.10300016403198,12.9547004699707,24.843599319458,5.4640998840332,15,1
"2",30.3673000335693,0,120.285003662109,118.538803100586,1.82179999351501,5.70669984817505,13.8753004074097,23.2644004821777,6.16520023345947,5,1
"3",31.17799949646,0.0386999994516373,118.552299499512,115.477996826172,1.85909998416901,6.45170021057129,13.9707002639771,22.2527008056641,6.94379997253418,5,1
"4",28.9197006225586,0.162000000476837,74.7910003662109,72.35009765625,1.17190003395081,3.51270008087158,13.6586999893188,29.8691005706787,3.99200010299683,15,1
"5",20.3117008209229,0,202.509994506836,194.489807128906,5.4556999206543,1.08270001411438,11.1890001296997,30.8628997802734,1.19719994068146,7,1
"6",21.8092994689941,0,203.617706298828,197.079299926758,9.18760013580322,0.339700013399124,10.8629999160767,28.539400100708,0.419800013303757,15,1
"7",27.5757007598877,0.144299998879433,169.817306518555,164.4208984375,4.93499994277954,2.82669997215271,12.6490001678467,31.8910007476807,2.99090003967285,2,1
"8",27.5757007598877,0.144299998879433,169.817306518555,164.4208984375,4.93499994277954,2.82669997215271,12.6490001678467,31.8910007476807,2.99090003967285,2,1
"9",23.5009994506836,0.182699993252754,243.626007080078,241.548202514648,8.01459980010986,3.83270001411438,12.5797004699707,31.5818004608154,4.02510023117065,2,1
"10",27.5419998168945,0.213300004601479,157.64469909668,141.093307495117,3.60689997673035,2.07699990272522,12.8627004623413,33.0152015686035,2.45359992980957,15,1
"11",28.7882995605469,0.282700002193451,145.990005493164,129.08869934082,3.05369997024536,2.35870003700256,13.3222999572754,33.6417999267578,2.77239990234375,15,1
"12",27.317699432373,0.199699997901917,157.244705200195,140.455001831055,3.58010005950928,2.00670003890991,12.9786996841431,33.1100006103516,2.38369989395142,15,1
"13",31.7096996307373,0,136.330001831055,130.801193237305,2.26659989356995,5.74870014190674,12.1726999282837,26.5785999298096,6.09880018234253,15,1
"14",28.430700302124,0,134.827697753906,135.184906005859,2.01189994812012,3.97029995918274,12.6770000457764,27.3076000213623,4.36229991912842,15,1
"15",29.0002994537354,0.0103000001981854,99.810302734375,96.8671035766602,1.41509997844696,3.80329990386963,13.3760004043579,28.9141998291016,4.34240007400513,5,1
"16",28.5900001525879,0,130.305297851562,130.118698120117,2.50469994544983,5.39870023727417,12.9899997711182,24.2800998687744,5.8270001411438,15,1
"17",29.5027008056641,0,129.943298339844,129.718307495117,2.55769991874695,5.29099988937378,12.93630027771,25.5743007659912,5.6956000328064,8,1
