"species","longitude","latitude","aet","cwd","ppt","tmn","tmx","tmxjja","pptdjf","fvegrec","mam","brd","rep"
"Ixodes pacificus",-102743.789638,142577.35112,466.660003662109,800.43701171875,955.216979980469,9.03330039978027,24.0233001708984,34.0509986877441,164.326995849609,2,48,168,19
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,535.322998046875,766.989990234375,616.153015136719,9.90670013427734,23.403299331665,33.2360992431641,110.120002746582,6,39,167,14
"Ixodes pacificus",-10530.3749622,-49748.234647,394.852996826172,885.77001953125,753.89697265625,8.37670040130615,23.0632991790771,33.1897010803223,134.264999389648,2,50,171,17
